"sF","treid","slice","X","Y","Z"
"V400","s01.asc",3.6,0.291530000000002,0.16727,3.6346
"V400","s01.asc",3.6,0.309080000000002,0.493539999999999,3.5973
"V400","s01.asc",3.7,0.12163,0.33118,3.7166
"V400","s01.asc",3.7,0.46537,0.34463,3.6626
"V400","s01.asc",3.7,0.296690000000002,0.16569,3.7345
"V400","s01.asc",3.7,0.29935,0.49112,3.6608
"V400","s01.asc",3.8,0.112760000000002,0.32633,3.8423
"V400","s01.asc",3.8,0.465010000000003,0.339739999999999,3.7573
"V400","s01.asc",3.8,0.310470000000002,0.159689999999999,3.8488
"V400","s01.asc",3.8,0.32142,0.4894,3.8143
"V400","s01.asc",3.9,0.11748,0.324260000000001,3.8618
"V400","s01.asc",3.9,0.470310000000001,0.3087,3.8932
"V400","s01.asc",3.9,0.300380000000001,0.149049999999999,3.9371
"V400","s01.asc",3.9,0.29608,0.484769999999999,3.875
"V400","s01.asc",4,0.10248,0.32052,3.9798
"V400","s01.asc",4,0.45975,0.33001,3.9694
"V400","s01.asc",4,0.296850000000003,0.14725,4.039
"V400","s01.asc",4,0.305660000000003,0.479340000000001,4.0038
"V400","s01.asc",4.1,0.110530000000001,0.29879,4.1371
"V400","s01.asc",4.1,0.458470000000002,0.32372,4.0535
"V400","s01.asc",4.1,0.273240000000001,0.14212,4.1362
"V400","s01.asc",4.1,0.288330000000002,0.4718,4.0685
"V400","s01.asc",4.2,0.112300000000001,0.300990000000001,4.1805
"V400","s01.asc",4.2,0.454180000000001,0.31995,4.1527
"V400","s01.asc",4.2,0.290130000000001,0.13533,4.2359
"V400","s01.asc",4.2,0.30151,0.465859999999999,4.1663
"V400","s01.asc",4.3,0.109850000000002,0.29565,4.3492
"V400","s01.asc",4.3,0.45045,0.307599999999999,4.2561
"V400","s01.asc",4.3,0.271410000000003,0.12621,4.2781
"V400","s01.asc",4.3,0.320240000000002,0.46115,4.2596
"V400","s01.asc",4.4,0.106460000000002,0.270619999999999,4.4495
"V400","s01.asc",4.4,0.446930000000002,0.29561,4.3608
"V400","s01.asc",4.4,0.28012,0.12466,4.4397
"V400","s01.asc",4.4,0.291310000000003,0.45379,4.3665
"V400","s01.asc",4.5,0.103340000000003,0.29325,4.5417
"V400","s01.asc",4.5,0.442690000000002,0.29203,4.4637
"V400","s01.asc",4.5,0.288300000000003,0.12161,4.5477
"V400","s01.asc",4.5,0.26022,0.4483,4.4516
"V400","s01.asc",4.6,0.0962800000000001,0.28891,4.6481
"V400","s01.asc",4.6,0.439800000000002,0.28152,4.5654
"V400","s01.asc",4.6,0.254300000000001,0.11725,4.6385
"V400","s01.asc",4.6,0.275000000000002,0.44544,4.5503
"V400","s01.asc",4.7,0.0961400000000019,0.289160000000001,4.6703
"V400","s01.asc",4.7,0.444420000000001,0.255039999999999,4.6997
"V400","s01.asc",4.7,0.274280000000001,0.10928,4.7425
"V400","s01.asc",4.7,0.273480000000003,0.438280000000001,4.6559
"V400","s01.asc",4.8,0.0947899999999997,0.261049999999999,4.8347
"V400","s01.asc",4.8,0.435880000000001,0.275779999999999,4.7553
"V400","s01.asc",4.8,0.242540000000002,0.104799999999999,4.796
"V400","s01.asc",4.8,0.262460000000001,0.432790000000001,4.7531
"V400","s01.asc",4.9,0.0868600000000015,0.235759999999999,4.927
"V400","s01.asc",4.9,0.434470000000001,0.277419999999999,4.8603
"V400","s01.asc",4.9,0.217570000000002,0.0989100000000001,4.9258
"V400","s01.asc",4.9,0.272470000000002,0.427440000000001,4.8586
"V400","s01.asc",5,0.0909600000000026,0.28336,4.9534
"V400","s01.asc",5,0.440710000000003,0.243829999999999,5.0246
"V400","s01.asc",5,0.232670000000002,0.0810999999999993,4.9838
"V400","s01.asc",5,0.279760000000003,0.41944,4.9561
"V400","s01.asc",5.1,0.0968499999999999,0.26099,5.0865
"V400","s01.asc",5.1,0.43505,0.238580000000001,5.0939
"V400","s01.asc",5.1,0.259630000000001,0.0819399999999995,5.1367
"V400","s01.asc",5.1,0.258520000000001,0.411659999999999,5.0515
"V400","s01.asc",5.2,0.0992700000000006,0.24137,5.1974
"V400","s01.asc",5.2,0.438840000000003,0.240930000000001,5.2242
"V400","s01.asc",5.2,0.280430000000003,0.0732099999999996,5.2466
"V400","s01.asc",5.2,0.272560000000002,0.406940000000001,5.1589
"V400","s01.asc",5.3,0.0988500000000023,0.23734,5.3373
"V400","s01.asc",5.3,0.43655,0.23399,5.2729
"V400","s01.asc",5.3,0.28912,0.0730199999999996,5.2624
"V400","s01.asc",5.3,0.271230000000003,0.400449999999999,5.2507
"V400","s01.asc",5.4,0.099260000000001,0.238049999999999,5.3615
"V400","s01.asc",5.4,0.434520000000003,0.235609999999999,5.3627
"V400","s01.asc",5.4,0.245610000000003,0.072519999999999,5.3505
"V400","s01.asc",5.4,0.27261,0.398709999999999,5.363
"V400","s01.asc",5.5,0.0966900000000024,0.261139999999999,5.4644
"V400","s01.asc",5.5,0.43177,0.225579999999999,5.4599
"V400","s01.asc",5.5,0.24943,0.0727899999999995,5.5417
"V400","s01.asc",5.5,0.286210000000001,0.39317,5.4525
"V400","s01.asc",5.6,0.097760000000001,0.24118,5.6281
"V400","s01.asc",5.6,0.42877,0.22602,5.5529
"V400","s01.asc",5.6,0.257710000000003,0.0696999999999992,5.6456
"V400","s01.asc",5.6,0.266560000000002,0.38879,5.5525
"V400","s01.asc",5.7,0.0915500000000016,0.232139999999999,5.7456
"V400","s01.asc",5.7,0.423740000000002,0.21092,5.6562
"V400","s01.asc",5.7,0.259360000000001,0.0660100000000003,5.7327
"V400","s01.asc",5.7,0.261150000000001,0.38294,5.668
"V400","s01.asc",5.8,0.0847100000000012,0.22785,5.8408
"V400","s01.asc",5.8,0.417940000000002,0.234719999999999,5.7571
"V400","s01.asc",5.8,0.201180000000001,0.0552399999999995,5.7998
"V400","s01.asc",5.8,0.24295,0.380739999999999,5.7934
"V400","s01.asc",5.9,0.0764400000000016,0.199529999999999,5.946
"V400","s01.asc",5.9,0.409860000000002,0.222770000000001,5.8624
"V400","s01.asc",5.9,0.236610000000002,0.0442099999999996,5.9462
"V400","s01.asc",5.9,0.25432,0.37064,5.8675
"V400","s01.asc",6,0.0674400000000013,0.211029999999999,6.0486
