"tesi","length_toppo","treid","slice","diam_btw_rows","diam_wti_rows","xcentro","ycentro"
"V400",0.1,"s02",3.2,0.342571628571429,0.336597813299233,0.662454385714287,0.294774789002558
"V400",0.1,"s02",3.3,0.340485900383141,0.335736652690426,0.653017394636017,0.285610918937807
"V400",0.1,"s02",3.4,0.338265632183908,0.334577147215866,0.643461149425289,0.277733356216629
"V400",0.1,"s02",3.5,0.337599150326797,0.332379669811321,0.634204869281047,0.270487334905661
"V400",0.1,"s02",3.6,0.338838317307693,0.332086214814815,0.622681466346156,0.263366707407408
"V400",0.1,"s02",3.7,0.34072847826087,0.329908680851064,0.610244239130436,0.254040340425533
"V400",0.1,"s02",3.8,0.341847918367347,0.328122358674464,0.596411959183675,0.245206968810917
"V400",0.1,"s02",3.9,0.341670318181818,0.328481871657753,0.583633340909092,0.236467299465242
"V400",0.1,"s02",4,0.341239530956847,0.329477228571429,0.570064380863041,0.227307814285715
"V400",0.1,"s02",4.1,0.341959274725275,0.326073373913044,0.555385791208793,0.217565486956523
"V400",0.1,"s02",4.2,0.337624166666667,0.325373767942584,0.541095416666669,0.209164252392345
"V400",0.1,"s02",4.3,0.34188825,0.325184094202899,0.524495375000001,0.202551213768117
"V400",0.1,"s02",4.4,0.338498571428571,0.323025586527294,0.511989285714287,0.193721840882696
"V400",0.1,"s02",4.5,0.337712027027027,0.320858931623932,0.497051013513515,0.186198311965813
"V400",0.1,"s02",4.6,0.34287876344086,0.317485192307692,0.480347715053765,0.180575096153847
"V400",0.1,"s02",4.7,0.340062363636364,0.314620664893617,0.46889481818182,0.177141582446809
"V400",0.1,"s02",4.8,0.339136607142857,0.315053974358974,0.453940446428573,0.171471217948719
"V400",0.1,"s02",4.9,0.341170343980344,0.312968300653594,0.437056990171992,0.166794738562092
"V400",0.1,"s02",5,0.343414111111111,0.314132908902692,0.420182611111113,0.163299497929607
"V400",0.1,"s02",5.1,0.340885142857143,0.314540366132723,0.40598542857143,0.162301922196797
"V400",0.1,"s02",5.2,0.333903225806451,0.31455491902834,0.394071612903227,0.162654382591094
"V400",0.1,"s02",5.3,0.337077787878788,0.314400285412262,0.379289893939395,0.165422415433405
"V400",0.1,"s02",5.4,0.340793928571428,0.315176073529412,0.362564464285716,0.169729213235295
"V400",0.1,"s02",5.5,0.338654825174825,0.314858194444444,0.352068951048952,0.17631451388889
"V400",0.1,"s02",5.6,0.341565538461539,0.316005756302521,0.341761230769232,0.183348592436976
"V400",0.1,"s02",5.7,0.326435366568914,0.317079351432881,0.328255865102641,0.189656734539971
"V400",0.1,"s02",5.8,0.328041709401709,0.312586015037594,0.317684700854703,0.196080150375941
"V400",0.1,"s02",5.9,0.323991876832845,0.308821409090909,0.308845029325515,0.200650204545455
"V400",0.1,"s02",6,0.322195696969697,0.305864122807018,0.30056184848485,0.202096271929825
"V400",0.1,"s02",6.1,0.320176631299735,0.305567687400319,0.2941175464191,0.200968580542266
"V400",0.1,"s02",6.2,0.324706666666667,0.302336481203007,0.283163333333335,0.199757187969926
"V400",0.1,"s02",6.3,0.318248333333334,0.304840083333333,0.278099166666668,0.198304708333334
"V400",0.1,"s02",6.4,0.317229112903226,0.306110671506352,0.267977056451614,0.197226388384756
"V400",0.1,"s02",6.5,0.316088148148148,0.301077647058823,0.257304074074076,0.193233823529413
"V400",0.1,"s02",6.6,0.316792206896552,0.301771255411255,0.245270103448278,0.191941341991343
"V400",0.1,"s02",6.7,0.316636666666666,0.301095541666666,0.235499761904764,0.189869104166668
"V400",0.1,"s02",6.8,0.319786203703704,0.299424470046083,0.220670601851853,0.188569377880185
"V400",0.1,"s02",6.9,0.327775416666667,0.297323534482759,0.206024375000001,0.18940926724138
"V400",0.1,"s02",7,0.322755416666667,0.297435333333334,0.194387708333335,0.188838333333334
"V400",0.1,"s03",0.1,0.480040048780487,0.415518464912281,0.269451975609756,0.656868399122808
"V400",0.1,"s03",0.2,0.447988187830688,0.406969192886457,0.261161501322752,0.650594008207936
"V400",0.1,"s03",0.3,0.43750140477687,0.399390217391304,0.263133134820868,0.645270108695653
"V400",0.1,"s03",0.4,0.427704893521966,0.394799729128015,0.263630211466866,0.638389319109463
"V400",0.1,"s03",0.5,0.42260785472973,0.389413647368421,0.265484197635135,0.633360376315791
"V400",0.1,"s03",0.6,0.416929602739726,0.386465677966101,0.267582198630137,0.62900216101695
"V400",0.1,"s03",0.7,0.412672397194001,0.38273165513834,0.271947480648283,0.624735259387353
"V400",0.1,"s03",0.8,0.408591618589744,0.379059930926916,0.276416065705129,0.620776897281641
"V400",0.1,"s03",0.9,0.404571464932127,0.378271934460888,0.280504555995475,0.619190850951375
"V400",0.1,"s03",1,0.399460719476744,0.375321801470588,0.285867452761628,0.617645275735295
"V400",0.1,"s03",1.1,0.397215151960784,0.372493111111111,0.290432325980393,0.615494555555557
