"sF","treid","slice","X","Y","Z"
"V500","s03.asc",6.5,NA,NA,NA
"V500","s03.asc",6.5,NA,NA,NA
"V500","s03.asc",7,NA,NA,NA
"V500","s03.asc",7,NA,NA,NA
"V500","s03.asc",7,NA,NA,NA
"V500","s03.asc",7,NA,NA,NA
"V500","s04.asc",0.5,0.106549999999999,0.787500000000001,0.278939999999999
"V500","s04.asc",0.5,0.559270000000001,0.725850000000001,0.261609999999999
"V500","s04.asc",0.5,0.319030000000001,0.508020000000002,0.74385
"V500","s04.asc",0.5,0.362570000000002,0.962320000000002,0.25005
"V500","s04.asc",1,0.119330000000001,0.713810000000002,0.958359999999999
"V500","s04.asc",1,0.545030000000001,0.7287,0.767379999999999
"V500","s04.asc",1,0.324449999999999,0.472830000000002,1.24993
"V500","s04.asc",1,0.354179999999999,0.90991,0.76038
"V500","s04.asc",1.5,0.133900000000001,0.718859999999999,1.25811
"V500","s04.asc",1.5,0.538630000000001,0.628140000000002,1.6911
"V500","s04.asc",1.5,0.346730000000001,0.426450000000003,1.74654
"V500","s04.asc",1.5,0.322510000000001,0.86243,1.26422
"V500","s04.asc",2,0.14629,0.629940000000001,1.75151
"V500","s04.asc",2,0.540389999999999,0.618470000000002,2.07437
"V500","s04.asc",2,0.35427,0.376609999999999,2.24566
"V500","s04.asc",2,0.338229999999999,0.80612,1.76
"V500","s04.asc",2.5,0.148119999999999,0.534890000000001,2.45896
"V500","s04.asc",2.5,0.53857,0.595000000000002,2.26011
"V500","s04.asc",2.5,0.34064,0.323410000000003,2.74148
"V500","s04.asc",2.5,0.353729999999999,0.744630000000001,2.26369
"V500","s04.asc",3,0.143740000000001,0.439160000000001,3.24735
"V500","s04.asc",3,0.528210000000001,0.519819999999999,2.75872
"V500","s04.asc",3,0.329039999999999,0.26934,3.19666
"V500","s04.asc",3,0.33878,0.689260000000001,2.75477
"V500","s04.asc",3.5,0.125440000000001,0.408360000000002,3.74259
"V500","s04.asc",3.5,0.51116,0.45722,3.27138
"V500","s04.asc",3.5,0.305330000000001,0.223320000000001,3.74507
"V500","s04.asc",3.5,0.322140000000001,0.628120000000003,3.2592
"V500","s04.asc",4,0.107710000000001,0.32996,4.24719
"V500","s04.asc",4,0.493770000000001,0.425750000000001,3.77822
"V500","s04.asc",4,0.260090000000002,0.158950000000001,4.23323
"V500","s04.asc",4,0.293389999999999,0.57724,3.75946
"V500","s04.asc",4.5,0.0795199999999987,0.273800000000001,4.74937
"V500","s04.asc",4.5,0.472490000000001,0.357600000000001,4.25144
"V500","s04.asc",4.5,0.209869999999999,0.0940399999999997,4.74225
"V500","s04.asc",4.5,0.270879999999998,0.512350000000001,4.26282
"V500","s04.asc",5,0.0400199999999984,0.206780000000002,5.2212
"V500","s04.asc",5,0.444269999999999,0.257270000000002,4.88743
"V500","s04.asc",5,0.239090000000001,0.0357000000000021,5.19092
"V500","s04.asc",5,0.2485,0.446730000000002,4.7661
"V500","s04.asc",5.5,0,0.162970000000001,5.57807
"V500","s04.asc",5.5,0.399059999999999,0.229150000000001,5.2541
"V500","s04.asc",5.5,0.173539999999999,0,5.57182
"V500","s04.asc",5.5,0.226459999999999,0.381710000000002,5.26258
